OrderID,CustomerID,SKU,Description,OrderDate,State
1,2156,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-01-05 23:50:01,North Carolina
2,3185,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-02-17 23:53:44,Nevada
3,315,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-19 15:03:01,Maine
4,6957,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-08-11 03:14:03,Nevada
5,6495,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-08 18:52:37,Maryland
6,575,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-21 06:25:16,Maine
7,5458,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-03 23:34:18,Delaware
8,2152,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-15 20:41:54,Vermont
9,6076,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-09-07 16:53:03,Vermont
10,5984,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-24 12:18:08,Minnesota
11,3522,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-13 06:26:14,Massachusetts
12,5200,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-02-23 20:41:42,West Virginia
13,5198,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-26 05:24:45,West Virginia
14,4276,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-24 02:07:20,Indiana
15,3548,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-14 22:52:46,New Jersey
16,2446,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-02-19 20:42:28,West Virginia
17,1769,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-01-08 08:50:46,Vermont
18,6812,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-01-25 14:08:20,Oklahoma
19,3366,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-16 06:37:00,South Dakota
20,2294,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-10-01 02:11:26,Hawaii
21,1576,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-01-28 02:40:46,Oregon
22,1954,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-02-10 04:35:47,Wisconsin
23,4608,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-09-30 04:00:36,Wyoming
24,268,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-25 01:34:20,Louisiana
25,6552,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-21 16:18:34,Rhode Island
26,3532,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-28 21:25:12,Florida
27,2448,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-10-13 15:33:41,North Dakota
28,5540,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-20 04:08:43,Kentucky
29,6468,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-07 11:06:47,Maryland
30,5381,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-22 18:44:37,Mississippi
31,6148,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-31 23:23:23,Hawaii
32,276,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-12 21:16:38,Iowa
33,1453,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-23 04:49:25,Idaho
34,3007,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-10 17:06:18,Utah
35,4578,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-09-02 14:40:35,Mississippi
36,2036,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-11-19 05:56:41,Idaho
37,4343,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-19 08:03:40,Vermont
38,3795,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-10-12 06:44:02,New Hampshire
39,3851,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-11-28 05:39:59,Montana
40,3307,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-11-16 03:52:01,New York
41,4880,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-10-11 21:20:57,Delaware
42,3728,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-13 00:05:46,Illinois
43,4208,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-10-10 16:02:41,Texas
44,5727,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-13 11:35:33,Iowa
45,2033,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-02-01 13:45:23,Oregon
46,2495,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-30 12:33:04,New York
47,2689,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-08-24 18:06:29,Iowa
48,2485,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-03 02:25:42,Mississippi
49,5439,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-16 23:23:42,Tennessee
50,6214,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-15 16:34:32,Washington
51,1390,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-26 08:51:20,South Dakota
52,784,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-30 11:06:34,Maine
53,5116,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-11-19 01:20:53,Oregon
54,3478,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-14 15:52:21,New Mexico
55,4359,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-19 14:24:08,Kentucky
56,2499,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-03 11:57:36,Nevada
57,2278,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-08-11 12:14:04,Utah
58,1098,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-06 19:38:13,Washington
59,1939,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-02 14:30:35,Missouri
60,3378,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-17 01:39:16,Hawaii
61,1615,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-04 12:38:57,Illinois
62,920,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-01 17:18:23,Utah
63,5486,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-13 11:35:42,Delaware
64,5646,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-10 04:46:55,Wisconsin
65,1721,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-30 07:00:19,North Carolina
66,971,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-02-16 17:41:34,Connecticut
67,2639,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-11-17 12:22:18,Maine
68,4988,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-17 16:26:48,Minnesota
69,6582,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-08-25 07:27:53,Rhode Island
70,5611,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-01-11 18:05:08,Wisconsin
71,1585,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-19 08:17:56,South Carolina
72,6193,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-24 02:52:37,New York
73,344,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-29 22:48:00,Illinois
74,2228,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-03-19 02:32:55,Iowa
75,522,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-08-11 05:04:46,Tennessee
76,2903,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-11 05:16:29,Rhode Island
77,4522,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-24 05:35:27,Indiana
78,4253,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-08-30 00:12:08,Florida
79,5974,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-01-05 11:31:34,Minnesota
80,223,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-01-25 18:07:56,Idaho
81,3730,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-13 05:04:35,North Carolina
82,727,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-02-19 12:32:05,South Dakota
83,4108,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-08-03 23:35:27,Arizona
84,4443,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-25 01:52:03,Rhode Island
85,831,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-04-01 07:39:58,Indiana
86,4826,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-26 18:23:17,Michigan
87,590,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-20 03:44:45,California
88,3464,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-11-01 21:02:14,Ohio
89,2368,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-21 21:50:31,Tennessee
90,2942,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-12-04 15:42:07,Idaho
91,5752,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-05-19 09:05:08,Pennsylvania
92,2722,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-07-31 17:06:57,Vermont
93,5294,ADV-24-10C,Advanced 24-port 10G Copper Switch,2025-06-18 10:33:54,Connecticut
94,2520,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-10-31 16:46:59,Texas
95,2842,ADV-24-10C,Advanced 24-port 10G Copper Switch,2024-10-23 21:02:59,New Mexico
